Samples:              200
Code base length:     900
Closeness difference: 159

Sample  Min_diff  Max_diff  Num_close
-------------------------------------
     0       123       168        180
     1       123       165        190
     2       129       176        172
     3       127       176        167
     4       130       165        179
     5       127       170        177
     6       120       161        197
     7       124       171        184
     8       127       171        161
     9       122       168        193
    10       131       174        142
    11       121       170        176
    12       110       153        199
    13       129       170        157
    14       130       174        184
    15       123       163        193
    16       137       178        117
    17       144       182         45
    18       115       159        197
    19       111       157        199
    20       121       167        190
    21       118       163        195
    22       117       163        197
    23       129       170        179
    24       124       164        194
    25       111       155        199
    26       108       154        199
    27       111       161        196
    28       140       186         77
    29       126       169        168
    30       115       156        199
    31       120       162        196
    32       135       182         95
    33       124       169        178
    34       138       177        116
    35       122       175        183
    36       129       167        180
    37       121       170        189
    38       128       167        182
    39       135       178        104
    40       130       167        184
    41       119       159        198
    42       134       175        163
    43       123       172        180
    44       135       176        101
    45       123       169        181
    46       119       168        194
    47       125       170        189
    48       128       176        177
    49       125       172        179
    50       131       174        174
    51       131       176        154
    52       142       181         74
    53       123       168        186
    54       125       167        174
    55       137       179        127
    56       121       167        187
    57       111       156        199
    58       118       162        195
    59       122       169        183
    60       134       178        135
    61       117       164        196
    62       117       158        199
    63       129       177        172
    64       107       155        199
    65       125       167        188
    66       115       158        199
    67       129       171        172
    68       123       168        190
    69       114       159        198
    70       132       178        157
    71       128       170        173
    72       129       174        124
    73       115       166        189
    74       105       148        199
    75       138       178        100
    76       120       158        199
    77       127       168        174
    78       130       175        163
    79       123       171        192
    80       126       169        171
    81       114       162        197
    82       124       166        187
    83       133       177        140
    84       112       157        199
    85       130       174        162
    86       127       174        159
    87       120       165        196
    88       117       160        198
    89       125       166        189
    90       132       172        163
    91       125       173        179
    92       132       172        160
    93       126       174        173
    94       105       150        199
    95       124       163        196
    96       125       175        178
    97       120       168        186
    98       127       170        174
    99       124       167        184
   100       121       159        198
   101       125       167        184
   102       121       166        193
   103       130       170        174
   104       114       157        199
   105       126       169        174
   106       125       165        182
   107       134       173        123
   108       132       180        129
   109       127       168        186
   110       124       172        180
   111       132       173        153
   112       121       169        186
   113       126       172        172
   114       116       164        191
   115       120       163        196
   116       129       169        167
   117       136       180        111
   118       116       172        173
   119       131       170        177
   120       114       153        199
   121       108       153        199
   122       134       181        103
   123       122       167        179
   124       119       165        198
   125       137       180        119
   126       115       160        198
   127       134       180        143
   128       126       174        182
   129       118       162        197
   130       111       159        198
   131       127       169        174
   132       121       164        193
   133       121       166        182
   134       121       160        197
   135       121       159        198
   136       137       182        118
   137       117       160        196
   138       125       171        173
   139       125       169        185
   140       133       178        142
   141       118       159        198
   142       112       158        199
   143       122       173        189
   144       115       160        198
   145       116       167        192
   146       112       152        199
   147       119       160        197
   148       109       162        197
   149       122       163        193
   150       123       169        189
   151       118       166        197
   152       114       159        198
   153       118       164        195
   154       131       177        170
   155       115       167        195
   156       112       155        199
   157       125       168        180
   158       115       164        190
   159       141       182         73
   160       135       179        106
   161       114       161        198
   162       117       162        196
   163       118       160        198
   164       135       175        155
   165       132       175        167
   166       113       157        199
   167       123       169        192
   168       115       161        198
   169       124       165        193
   170       112       165        196
   171       147       186         35
   172       118       163        198
   173       128       172        172
   174       138       185         88
   175       126       173        176
   176       122       167        189
   177       127       170        182
   178       121       165        195
   179       118       165        193
   180       127       168        183
   181       133       179        116
   182       123       165        188
   183       130       180        161
   184       111       159        198
   185       136       180         95
   186       127       169        176
   187       127       168        176
   188       126       172        184
   189       122       162        198
   190       125       165        192
   191       131       176        165
   192       129       173        162
   193       129       170        177
   194       120       164        194
   195       135       175        134
   196       117       161        196
   197       126       170        168
   198       121       167        192
   199       121       163        194
